id,subject,topic,difficulty,question,A,B,C,D,correct
175,Python,Pandas,hard,To read CSV use?,pd.read_csv(),pd.load(),np.read(),None,A
176,Python,OOP,hard,Polymorphism means?,Many forms,One form,Multiple parents,None,A
177,Python,Memory,hard,Garbage collection in Python is?,Automatic,Manual,Disabled,None,A
178,Python,OOP,hard,Encapsulation means?,Data hiding,Inheritance,Abstraction,None,A
179,Python,OOP,hard,Abstraction hides?,Implementation,Interface,Data,None,A
180,Python,Advanced,hard,PEP 8 refers to?,Python style guide,Library,IDE,Framework,A
181,Algorithm,Basics,easy,Algorithm is?,Step-by-step procedure,Data structure,Flowchart,None,A
182,Algorithm,Basics,easy,Big O represents?,Upper bound,Lower bound,Average case,None,A
183,Algorithm,Basics,easy,? notation gives?,Exact bound,Worst case,Average case,None,A
184,Algorithm,Basics,easy,? notation defines?,Lower bound,Upper bound,Average,None,A
185,Algorithm,Basics,easy,Time complexity of binary search?,O(n),O(log n),O(n²),O(1),B
186,Algorithm,Basics,easy,Space complexity measures?,Memory usage,Time taken,CPU speed,Disk size,A
187,Algorithm,Basics,easy,Which sorting is not comparison-based?,Counting sort,Quick sort,Merge sort,Bubble sort,A
188,Algorithm,Basics,easy,Stability in sorting means?,Equal elements keep order,Fast sorting,Random order,None,A
189,Algorithm,Basics,easy,Divide and Conquer example?,Merge Sort,Heap Sort,Counting Sort,None,A
190,Algorithm,Basics,easy,Recursion is used in?,Quick Sort,Selection Sort,Insertion Sort,None,A
191,Algorithm,Basics,easy,Complexity of bubble sort best case?,O(n),O(n log n),O(n²),O(log n),A
192,Algorithm,Basics,easy,Which algorithm uses partitioning?,Quick Sort,Merge Sort,Heap Sort,Counting Sort,A
193,Algorithm,Basics,easy,Which is not a sorting algorithm?,DFS,Merge Sort,Selection Sort,Insertion Sort,A
194,Algorithm,Basics,easy,Best sorting for nearly sorted data?,Insertion Sort,Bubble Sort,Quick Sort,None,A
195,Algorithm,Basics,easy,Which algorithm finds element faster?,Binary Search,Linear Search,Bubble Sort,None,A
196,Algorithm,DivideConquer,moderate_1,Merge sort complexity?,O(n log n),O(n²),O(n),O(log n),A
197,Algorithm,DivideConquer,moderate_1,Quick sort worst case?,O(n²),O(n log n),O(n),O(1),A
198,Algorithm,DivideConquer,moderate_1,Binary search requires?,Sorted array,Unsorted array,Linked list,None,A
199,Algorithm,DivideConquer,moderate_1,Maximum subarray problem uses?,Divide & Conquer,Greedy,DP,None,A
200,Algorithm,DivideConquer,moderate_1,Recurrence T(n)=2T(n/2)+O(n) ? complexity?,O(n log n),O(n²),O(log n),None,A
201,Algorithm,Greedy,moderate_1,Kruskal’s algorithm used for?,MST,Shortest path,Sorting,None,A
202,Algorithm,Greedy,moderate_1,Prim’s algorithm builds?,MST,Shortest path,Graph,None,A
203,Algorithm,Greedy,moderate_1,Greedy algorithm makes?,Local optimum,Global optimum,Random,None,A
204,Algorithm,Greedy,moderate_1,Huffman coding is used in?,Data compression,Sorting,Searching,None,A
205,Algorithm,Greedy,moderate_1,Dijkstra algorithm finds?,Shortest path,MST,Longest path,None,A
206,Algorithm,DP,moderate_2,Dynamic programming uses?,Overlapping subproblems,Divide & Conquer,Randomization,None,A
207,Algorithm,DP,moderate_2,0/1 Knapsack solved by?,DP,Greedy,Divide & Conquer,None,A
208,Algorithm,DP,moderate_2,Bellman-Ford finds?,Shortest path,MST,Flow,None,A
209,Algorithm,DP,moderate_2,Floyd-Warshall solves?,All-pairs shortest path,MST,BFS,None,A
210,Algorithm,DP,moderate_2,Longest Common Subsequence uses?,DP,Greedy,Backtracking,None,A
211,Algorithm,Graph,moderate_2,DFS uses?,Stack,Queue,Recursion,A or C,D
212,Algorithm,Graph,moderate_2,BFS uses?,Queue,Stack,Tree,None,A
213,Algorithm,Graph,moderate_2,Topological sorting applies to?,DAG,Undirected graph,Cyclic graph,None,A
214,Algorithm,Graph,moderate_2,Which detects cycle?,DFS,BFS,Merge,None,A
215,Algorithm,Graph,moderate_2,Shortest path with negative weights?,Bellman-Ford,Dijkstra,Prim,None,A
216,Algorithm,Backtracking,hard,N-Queens uses?,Backtracking,Greedy,Divide & Conquer,None,A
217,Algorithm,Backtracking,hard,Subset sum uses?,Backtracking,DP,BFS,None,A
218,Algorithm,String,hard,KMP algorithm used for?,Pattern matching,Sorting,Searching,None,A
219,Algorithm,String,hard,Rabin-Karp uses?,Hashing,Sorting,DP,None,A
220,Algorithm,Graph,hard,Minimum Spanning Tree is?,Connected acyclic subgraph,Complete graph,Disconnected graph,None,A
221,Algorithm,Optimization,hard,Greedy fails when?,Local != Global optimum,Random input,Sorted input,None,A
222,Algorithm,Complexity,hard,NP-complete problems are?,Not solvable in poly time,Solvable easily,Constant,None,A
223,Algorithm,Complexity,hard,Example of NP-complete?,Traveling Salesman,Sorting,Searching,None,A
224,Algorithm,Complexity,hard,P ? NP means?,All P problems are NP,All NP problems are P,None,A,C
225,Algorithm,DP,hard,Matrix Chain Multiplication solved by?,DP,Greedy,Recursion,None,A
226,Algorithm,Graph,hard,Kruskal uses?,Sorting edges,BFS,DFS,None,A
227,Algorithm,Graph,hard,Dijkstra fails with?,Negative weights,Loops,Cycles,None,A
228,Algorithm,DP,hard,Optimal substructure means?,Problem can be divided,Problem random,None,A,D
229,Algorithm,Optimization,hard,Branch and Bound used in?,Optimization problems,Sorting,Searching,None,A
230,Algorithm,Complexity,hard,O(n²) means?,Quadratic growth,Linear growth,Constant,None,A
231,Algorithm,Graph,hard,Strongly connected graph means?,Path between every vertex,Tree,None,A,A
232,Algorithm,DP,hard,Memoization stores?,Results of subproblems,Loops,Arrays,None,A
233,Algorithm,String,hard,LCS stands for?,Longest Common Subsequence,Linked Code Sequence,None,A,B
234,Algorithm,Graph,hard,Acyclic graph means?,No cycles,Directed edges,None,A,C
235,Algorithm,Basics,hard,Algorithm design technique example?,Divide and Conquer,Compilation,Linking,None,A
236,Algorithm,Graph,hard,DFS complexity?,O(V+E),O(V²),O(E²),O(VE),A
237,Algorithm,DP,hard,Floyd-Warshall complexity?,O(n³),O(n²),O(n log n),O(n?),A
238,Algorithm,DP,hard,Bellman-Ford complexity?,O(VE),O(V²),O(E log V),None,A
239,Algorithm,String,hard,KMP complexity?,O(n+m),O(n²),O(log n),O(1),A
240,Algorithm,Complexity,hard,Which is asymptotically fastest?,O(log n),O(n),O(n²),O(n³),A
241,Cloud Computing,Basics,easy,Cloud computing means?,Using Internet for computing services,Offline computing,Local servers only,Manual computing,A
242,Cloud Computing,Basics,easy,Main characteristic of cloud computing?,On-demand self-service,Manual configuration,Hardware-based,Static services,A
243,Cloud Computing,Basics,easy,Which is not a service model?,IaaS,PaaS,CaaS,SaaS,C
244,Cloud Computing,Basics,easy,Which company introduced AWS?,Amazon,Google,Microsoft,IBM,A
245,Cloud Computing,Basics,easy,Example of SaaS?,Gmail,AWS EC2,Azure VM,Kubernetes,A
246,Cloud Computing,Basics,easy,Cloud allows?,Resource pooling,Limited access,No virtualization,Manual scaling,A
247,Cloud Computing,Basics,easy,Which deployment model is shared by public?,Public Cloud,Private Cloud,Hybrid Cloud,Community Cloud,A
248,Cloud Computing,Basics,easy,Full form of IaaS?,Infrastructure as a Service,Internet as a System,Information as a Source,None,A
249,Cloud Computing,Basics,easy,Platform as a Service provides?,Runtime environment,Physical hardware,Software only,Data only,A
250,Cloud Computing,Basics,easy,Which service offers virtual machines?,IaaS,SaaS,PaaS,None,A
251,Cloud Computing,Basics,easy,Key enabler of cloud computing?,Virtualization,Blockchain,DNS,Cookies,A
252,Cloud Computing,Basics,easy,Which layer interacts with users?,SaaS,PaaS,IaaS,Hardware,A
253,Cloud Computing,Basics,easy,Which is not a cloud provider?,AWS,Google Cloud,Windows,Azure,C
254,Cloud Computing,Basics,easy,Cloud computing uses?,Internet,LAN,Intranet,VPN only,A
255,Cloud Computing,Basics,easy,Which is example of IaaS?,Amazon EC2,Gmail,Dropbox,Zoom,A
256,Cloud Computing,Architecture,moderate_1,NIST defines how many essential characteristics?,5,4,3,6,A
257,Cloud Computing,Architecture,moderate_1,Key feature of elasticity?,Scale up/down resources,Fixed capacity,Only increase,None,A
258,Cloud Computing,Architecture,moderate_1,Resource pooling means?,Shared resources,Dedicated server,Manual allocation,None,A
259,Cloud Computing,Architecture,moderate_1,Measured service means?,Usage-based billing,Flat rate,Subscription,Manual metering,A
260,Cloud Computing,Architecture,moderate_1,Rapid elasticity provides?,Dynamic resource scaling,Manual scaling,Security,Backup,A
261,Cloud Computing,Virtualization,moderate_1,Virtualization allows?,Multiple OS on same hardware,One OS per hardware,No sharing,None,A
262,Cloud Computing,Virtualization,moderate_1,Hypervisor is also called?,VMM,VM,VMU,VMS,A
263,Cloud Computing,Virtualization,moderate_1,Type-1 hypervisor runs on?,Bare metal,Host OS,VM,Cloud only,A
264,Cloud Computing,Virtualization,moderate_1,VMware is example of?,Type-1 hypervisor,Type-2 hypervisor,Container,None,B
265,Cloud Computing,Virtualization,moderate_1,Containerization uses?,Docker,Hyper-V,BIOS,RAID,A
266,Cloud Computing,Storage,moderate_2,Cloud storage stores data in?,Virtualized servers,Local drives,Floppy disks,Pen drives,A
267,Cloud Computing,Storage,moderate_2,Amazon S3 provides?,Object storage,Block storage,File storage,None,A
268,Cloud Computing,Storage,moderate_2,Google Drive is example of?,SaaS,IaaS,PaaS,None,A
269,Cloud Computing,Storage,moderate_2,Redundancy ensures?,Data availability,Data deletion,Low performance,None,A
270,Cloud Computing,Networking,moderate_2,Which protocol used in cloud data transfer?,HTTP/HTTPS,SMTP,FTP only,UDP only,A
271,Cloud Computing,Security,moderate_2,Cloud security includes?,Authentication,Encryption,Access control,All,D
272,Cloud Computing,Security,moderate_2,Multi-tenancy means?,Shared resources among users,Dedicated server,Local system,None,A
273,Cloud Computing,Security,moderate_2,Data encryption ensures?,Confidentiality,Availability,Speed,None,A
274,Cloud Computing,Security,moderate_2,VPN provides?,Secure channel,Storage,Virtualization,None,A
275,Cloud Computing,Security,moderate_2,Compliance ensures?,Legal standards,Cost reduction,Redundancy,None,A
276,Cloud Computing,Cloud Providers,hard,Azure developed by?,Microsoft,Google,IBM,Oracle,A
277,Cloud Computing,Cloud Providers,hard,GCP stands for?,Google Cloud Platform,General Cloud Process,Global Compute Platform,None,A
278,Cloud Computing,Cloud Providers,hard,AWS EC2 offers?,Virtual servers,Object storage,Queues,DNS,A
279,Cloud Computing,Cloud Providers,hard,AWS S3 stores?,Objects,Files,Blocks,Tables,A
280,Cloud Computing,Cloud Providers,hard,CloudWatch used for?,Monitoring AWS resources,Backup,Networking,None,A
281,Cloud Computing,Management,hard,SLA stands for?,Service Level Agreement,Secure Layer Access,Standard Licensing API,None,A
282,Cloud Computing,Management,hard,Orchestration means?,Automating cloud tasks,Manual scheduling,Backup,Encryption,A
283,Cloud Computing,Management,hard,Auto-scaling helps in?,Dynamic resource allocation,Manual start,Stopping VM,None,A
284,Cloud Computing,Management,hard,Billing in cloud is based on?,Usage,Fixed cost,Device type,None,A
285,Cloud Computing,Management,hard,Which model provides max control?,IaaS,SaaS,PaaS,None,A
286,Cloud Computing,Trends,hard,Edge computing means?,Processing near data source,Centralized data,Manual processing,None,A
